Name,Title,Company,LinkedIn,Email,Source URL,Extraction Date,Batch_Mode,Processing_Date,Company_Industry
Abdulla Ateya Al Messabi,Chief Executive Officer,ADNOC Drilling,,,https://adnocdrilling.ae/en/our-company/leadership,11-07-2025,Yes,11-07-2025 13:09,Energy
David Feinberg,"Director, President and Chief Executive Officer",Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
Mark Erceg,Executive Vice President and Chief Financial Officer,Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
Michael R. Battaglioli,Chief Accounting Officer and Vice President of Finance,Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
William Mintz,Chief Strategy Officer and Senior Vice President,Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
Bill Graff,Senior Vice President and Chief Information Officer,Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
Marc Baier,Top American DarkMatter Executive,DarkMatter,,,https://theintercept.com/2019/06/12/darkmatter-uae-hack-intercept/,14-07-2025,Yes,14-07-2025 14:03,Cybersecurity
Samer Khalife,Chief Financial Officer,DarkMatter,,,https://theintercept.com/2019/06/12/darkmatter-uae-hack-intercept/,14-07-2025,Yes,14-07-2025 14:03,Cybersecurity
Faisal Ai Bannai,Former Managing Director,DarkMatter,,,https://www.bankinfosecurity.com/uae-forms-defense-firm-to-help-tackle-cyberthreats-a-13387,14-07-2025,Yes,14-07-2025 14:03,Cybersecurity
Dr. Mohammed Al Zarouni,Executive Chairman,Dubai Integrated Economic Zones Authority (DIEZ),,,https://www.dso.ae/leadership-and-management-team,14-07-2025,Yes,14-07-2025 14:03,Technology
XRaed Kajoor Al Nuaimi,Chief Executive Officer,Dubai Parks and Resorts PJSC,,,https://dprcorporate.ae/management-team/,14-07-2025,Yes,14-07-2025 15:38,
Paul La France,Chief Projects Officer,Dubai Parks and Resorts PJSC,,,https://dprcorporate.ae/management-team/,14-07-2025,Yes,14-07-2025 15:38,
Matthew Priddy,Chief Technical Officer,Dubai Parks and Resorts PJSC,,,https://dprcorporate.ae/management-team/,14-07-2025,Yes,14-07-2025 15:38,
Mohammed Al Zarooni,Chief Executive Officer,Dubai Silicon Oasis Capital,,,https://www.cbinsights.com/company/dubai-silicon-oasis-capital/people,14-07-2025,Yes,14-07-2025 14:03,Technology
Mohammed Al Zarooni,Chief Executive Officer,"Dubai Silicon Oasis Capital

",,,https://www.cbinsights.com/company/dubai-silicon-oasis-capital/people,14-07-2025,Yes,14-07-2025 14:03,Technology
H.E. Jassem Mohamed Obaid Bu Ataba Alzaabi,Chairman,e&,,,https://www.eand.com/en/whoweare/governance/board-of-directors.html,14-07-2025,Yes,14-07-2025 15:33,
H.E. Essa Abdulfattah Kazim Al Mulla,Vice Chairman,e&,,,https://www.eand.com/en/whoweare/governance/board-of-directors.html,14-07-2025,Yes,14-07-2025 15:33,
Mr. Hesham Abdulla Qassim Al Qassim,Board Member,e&,,,https://www.eand.com/en/whoweare/governance/board-of-directors.html,14-07-2025,Yes,14-07-2025 15:33,
Shayne Nelson,Group Chief Executive Officer,Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,11-07-2025,Yes,11-07-2025 13:04,Banking & Financial Services
Farid Al Mulla,"Chief Executive Officer, Emirates Islamic",Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,11-07-2025,Yes,11-07-2025 13:04,Banking & Financial Services
Shayne Nelson,Group Chief Executive Officer,Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,15-07-2025,Yes,15-07-2025 15:24,
Farid Al Mulla,"Chief Executive Officer, Emirates Islamic",Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,15-07-2025,Yes,15-07-2025 15:24,
Marwan Hadi,Group Head of Retail Banking and Wealth Management,Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,15-07-2025,Yes,15-07-2025 15:24,
Jassem Mohamed Bu Ataba Alzaabi,Chairman,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 13:09,
Hatem Dowidar,Chief Executive Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 13:09,
Karim Bennis,Chief Financial Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 13:09,
Jassem Mohamed Bu Ataba Alzaabi,Chairman,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 15:26,
Hatem Dowidar,Chief Executive Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 15:26,
Karim Bennis,Chief Financial Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 15:26,
Jassem Mohamed Bu Ataba Alzaabi,Chairman,Etisalat Group,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,14-07-2025,Yes,14-07-2025 14:03,Telecommunications
Hana Al Rostamani,Group Chief Executive Officer,FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,14-07-2025,Yes,14-07-2025 15:30,
Futoon Hamdan Al Mazrouei,"Group Head of Personal, Business, Wealth and Privileged Client Banking Group",FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,14-07-2025,Yes,14-07-2025 15:30,
Lars Kramer,Group Chief Financial Officer,FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,14-07-2025,Yes,14-07-2025 15:30,
Hana Al Rostamani,Group Chief Executive Officer,FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,15-07-2025,Yes,15-07-2025 15:24,
